0xffffd28a:	"LESSOPEN=| /usr/bin/lesspipe %s"
0xffffd2aa:	"GNOME_KEYRING_PID="
0xffffd2bd:	"USER=scholtes"
0xffffd2cb:	"LANGUAGE=en_US"
0xffffd2da:	"UPSTART_INSTANCE="
0xffffd2ec:	"XDG_SEAT=seat0"
0xffffd2fb:	"SESSION=ubuntu"
0xffffd30a:	"XDG_SESSION_TYPE=x11"
0xffffd31f:	"COMPIZ_CONFIG_PROFILE=ubuntu"
0xffffd33c:	"SHLVL=1"
0xffffd344:	"OLDPWD=/home/scholtes/classes/secvul"

##############################################################################################################
0xffffd369:	"HOME=/home/scholtes" ########### <------------------ ############################################
#################################### This is the big money ###################################################
##############################################################################################################

0xffffd37d:	"QT4_IM_MODULE=xim"
0xffffd38f:	"DESKTOP_SESSION=ubuntu"
0xffffd3a6:	"QT_LINUX_ACCESSIBILITY_ALWAYS_ON=1"
0xffffd3c9:	"GTK_MODULES=gail:atk-bridge:unity-gtk-module"
0xffffd3f6:	"XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0"
0xffffd42a:	"INSTANCE="
0xffffd434:	"DBUS_SESSION_BUS_ADDRESS=unix:abstract=/tmp/dbus-pMbth1So9y"
0xffffd470:	"GNOME_KEYRING_CONTROL="
0xffffd487:	"QT_QPA_PLATFORMTHEME=appmenu-qt5"
0xffffd4a8:	"MANDATORY_PATH=/usr/share/gconf/ubuntu.mandatory.path"
0xffffd4de:	"IM_CONFIG_PHASE=1"
0xffffd4f0:	"SESSIONTYPE=gnome-session"
0xffffd50a:	"UPSTART_JOB=unity7"
0xffffd51d:	"LOGNAME=scholtes"
0xffffd52e:	"GTK_IM_MODULE=ibus"
0xffffd541:	"WINDOWID=65011722"
0xffffd553:	"_=/usr/bin/gdb"
0xffffd562:	"DEFAULTS_PATH=/usr/share/gconf/ubuntu.default.path"
0xffffd595:	"XDG_SESSION_ID=c2"
0xffffd5a7:	"TERM=xterm-256color"
0xffffd5bb:	"COLUMNS=94"
0xffffd5c6:	"GNOME_DESKTOP_SESSION_ID=this-is-deprecated"
0xffffd5f2:	"GTK2_MODULES=overlay-scrollbar"
